ID,Position,Genius_Score,Height,BuildUp_Score,Physical_Power,Age,Prospect
TRAIN_0006,GK,-0.6315304255319152,196,2.3360333333333334,237.0,20,0
TRAIN_0029,GK,0.18447124999999964,193,1.3768,230.5,17,1
TRAIN_0035,GK,-0.24782875000000004,188,1.6121666666666667,222.0,17,1
TRAIN_0036,GK,-0.11477955555555575,183,2.4383666666666666,218.0,21,0
TRAIN_0040,GK,-0.6112595555555558,194,1.7808,236.5,21,0
TRAIN_0050,GK,0.17860957446808445,197,2.5037,239.0,20,1
TRAIN_0058,GK,-0.13549955555555648,194,1.5377666666666665,233.5,21,1
TRAIN_0062,GK,0.11277000000000026,198,2.6723,239.0,16,1
TRAIN_0086,GK,0.019151250000000175,183,1.7363333333333333,219.0,17,1
TRAIN_0093,GK,-0.027528750000000102,193,1.4955,234.5,17,1
TRAIN_0112,GK,-0.9486795555555556,190,1.8953666666666666,232.5,21,0
TRAIN_0120,GK,-0.340819555555556,181,2.5193333333333334,218.5,21,0
TRAIN_0166,GK,-0.1428304761904755,191,2.0066,233.0,19,1
TRAIN_0169,GK,-0.2941504255319147,185,1.4192,220.5,20,1
TRAIN_0178,GK,-0.16633047619047492,185,2.9861,222.5,19,1
TRAIN_0186,GK,-0.10407265306122415,183,1.3849,218.0,18,1
TRAIN_0197,GK,0.24110044444444334,185,2.0775666666666663,221.5,21,0
TRAIN_0208,GK,0.47110044444444377,190,2.7137666666666664,234.0,21,0
TRAIN_0213,GK,-0.01323265306122412,182,1.8526333333333334,219.5,18,0
TRAIN_0222,GK,-0.33045265306122396,180,1.8482333333333332,217.5,18,0
TRAIN_0223,GK,-0.47567955555555663,193,1.5753666666666668,232.5,21,0
TRAIN_0226,GK,-0.13697955555555552,192,1.6856666666666669,234.5,21,0
TRAIN_0228,GK,0.018060444444443213,185,1.3677333333333335,226.0,21,0
TRAIN_0229,GK,0.8766495744680851,189,2.3613666666666666,228.0,20,1
TRAIN_0231,GK,-0.9479304255319141,181,1.8144333333333336,217.0,20,1
TRAIN_0251,GK,-0.18905047619047455,193,1.8177666666666668,231.0,19,0
TRAIN_0267,GK,-0.21855265306122362,188,1.4458,227.0,18,1
TRAIN_0268,GK,-0.1723326530612237,192,1.808366666666667,232.5,18,1
TRAIN_0287,GK,-0.2963904255319143,180,1.8048666666666666,217.5,20,0
TRAIN_0288,GK,0.1548895744680845,185,2.2356333333333334,221.0,20,0
TRAIN_0311,GK,-0.863350476190476,182,1.5325,218.0,19,0
TRAIN_0316,GK,-0.3756326530612233,191,0.9450666666666668,229.5,18,1
TRAIN_0318,GK,0.290269574468085,186,1.2126333333333335,223.5,20,0
TRAIN_0322,GK,-0.20925047619047543,190,1.7664666666666669,230.0,19,1
TRAIN_0338,GK,0.24254957446808412,185,1.4453333333333334,221.0,20,1
TRAIN_0342,GK,-0.3383304255319146,191,1.6056666666666668,232.0,20,0
TRAIN_0359,GK,0.4063495744680852,193,1.7375666666666667,231.5,20,0
TRAIN_0360,GK,-0.03523265306122347,185,1.0921666666666667,222.5,18,1
TRAIN_0368,GK,0.040229574468085616,180,2.7731666666666666,219.0,20,1
TRAIN_0388,GK,1.5930495238095252,189,2.0418666666666665,225.5,19,0
TRAIN_0399,GK,1.0888473469387758,186,2.6358,223.5,18,1
TRAIN_0407,GK,0.6536604444444443,193,2.0604666666666667,232.5,21,0
TRAIN_0411,GK,0.24543124999999932,196,1.7647000000000002,234.0,17,1
TRAIN_0426,GK,-0.14257047619047558,196,1.5382333333333333,233.5,19,1
TRAIN_0427,GK,0.014989523809524563,180,1.6118666666666666,217.5,19,0
TRAIN_0429,GK,-0.06978874999999984,184,2.2579333333333333,224.0,17,1
TRAIN_0453,GK,0.15586952380952468,188,2.001333333333333,228.0,19,0
TRAIN_0455,GK,0.7155095238095246,191,1.4024666666666665,227.5,19,1
TRAIN_0458,GK,0.07190734693877587,193,2.2434333333333334,232.0,18,1
TRAIN_0478,GK,0.5953673469387759,194,1.5008,236.5,18,1
TRAIN_0482,GK,-0.09055955555555517,188,1.7350666666666668,228.5,21,0
TRAIN_0486,GK,-0.2539704761904753,191,1.7691666666666668,233.0,19,1
TRAIN_0488,GK,0.007747346938776545,189,1.7690000000000001,231.0,18,1
TRAIN_0494,GK,0.35292957446808515,188,2.5175666666666667,229.5,20,1
TRAIN_0496,GK,0.1495895238095244,187,2.1252,228.5,19,1
TRAIN_0502,GK,-0.22691955555555587,185,1.9687333333333334,225.5,21,0
TRAIN_0510,GK,-0.18214875000000053,180,1.8977666666666666,217.0,17,1
TRAIN_0513,GK,-0.023359555555555467,187,1.9623000000000002,223.0,21,0
TRAIN_0549,GK,0.7814495238095231,192,3.2962000000000002,237.0,19,1
TRAIN_0550,GK,-0.7910595555555542,193,1.647433333333333,235.5,21,0
TRAIN_0557,GK,-0.09131955555555571,184,2.1326666666666667,219.5,21,0
TRAIN_0565,GK,-0.007250476190475474,183,2.0104,221.0,19,1
TRAIN_0583,GK,0.13312957446808582,178,2.144933333333334,215.5,20,0
TRAIN_0587,GK,0.382889574468086,192,2.1156333333333333,230.0,20,0
TRAIN_0588,GK,-0.17673042553191465,189,2.6056666666666666,227.5,20,0
TRAIN_0600,GK,-0.1840304761904754,187,1.4413333333333334,228.0,19,1
TRAIN_0602,GK,0.5372804444444448,194,3.899766666666667,236.0,21,0
TRAIN_0623,GK,0.3930873469387768,190,2.0864666666666665,228.0,18,1
TRAIN_0633,GK,-0.05945265306122316,186,1.7706,224.0,18,1
TRAIN_0634,GK,-0.11276999999999937,194,3.8256666666666668,233.0,16,1
TRAIN_0655,GK,0.3857312500000001,179,2.048833333333333,214.0,17,0
TRAIN_0659,GK,0.17788044444444573,185,4.054866666666666,224.0,21,0
TRAIN_0673,GK,-0.40259265306122405,188,1.9709333333333332,226.0,18,0
TRAIN_0677,GK,-0.7458795555555557,185,2.1663,226.0,21,0
TRAIN_0687,GK,-0.7981504761904752,190,1.2991666666666666,229.0,19,0
TRAIN_0692,GK,-1.2405995555555558,190,1.8957,230.5,21,1
TRAIN_0693,GK,0.4473295238095245,187,1.9241,228.5,19,1
TRAIN_0744,GK,-0.5236904761904757,193,1.7306333333333335,233.0,19,1
TRAIN_0748,GK,-0.3390087500000005,180,1.8071000000000002,215.0,17,0
TRAIN_0749,GK,0.2708004444444452,190,1.5674,228.0,21,0
TRAIN_0760,GK,-0.2842126530612248,196,2.439133333333333,241.5,18,1
TRAIN_0762,GK,0.24094952380952517,195,1.0591666666666668,237.5,19,0
TRAIN_0778,GK,-1.2403904255319151,187,1.9709333333333332,227.0,20,0
TRAIN_0783,GK,-0.09174875000000071,185,1.0201333333333336,226.0,17,0
TRAIN_0785,GK,0.8117604444444444,188,1.845,227.0,21,0
TRAIN_0788,GK,-0.027619555555554953,190,2.0479,231.5,21,1
TRAIN_0800,GK,-0.8193904761904749,185,1.5643999999999998,219.0,19,0
TRAIN_0805,GK,0.737529574468085,190,3.6728,235.5,20,1
TRAIN_0822,GK,-0.09379955555555508,190,1.7619999999999998,230.0,21,0
TRAIN_0828,GK,0.2465804444444437,188,1.0641333333333334,228.0,21,0
TRAIN_0831,GK,0.8518695238095253,187,1.7696333333333332,224.5,19,0
TRAIN_0833,GK,-0.523710476190475,184,2.0074333333333336,223.0,19,1
TRAIN_0835,GK,0.6463095238095251,189,2.6416999999999997,230.0,19,0
TRAIN_0847,GK,-0.9760104761904751,183,2.013266666666667,225.0,19,0
TRAIN_0852,GK,-0.7736704761904756,192,1.7682000000000002,227.0,19,1
TRAIN_0853,GK,0.8537204444444448,190,1.5769333333333335,235.5,21,0
TRAIN_0861,GK,-0.18269955555555661,188,1.6918666666666666,227.5,21,0
TRAIN_0865,GK,-0.5815704255319138,188,1.9165666666666665,227.5,20,1
TRAIN_0867,GK,-0.271690425531915,183,2.2879,220.5,20,0
TRAIN_0869,GK,-0.25223047619047545,175,1.8571,212.5,19,1
TRAIN_0875,GK,0.6289095744680848,198,3.2348999999999997,241.5,20,0
TRAIN_0877,GK,-0.5868304255319154,188,1.5247,225.5,20,0
TRAIN_0884,GK,0.585709574468086,190,1.6541,230.0,20,1
TRAIN_0902,GK,0.8746295744680861,189,2.1666333333333334,227.5,20,0
TRAIN_0903,GK,-0.43001042553191393,195,1.7366333333333335,240.0,20,1
TRAIN_0912,GK,-0.48651265306122404,182,1.5759666666666667,215.5,18,0
TRAIN_0917,GK,0.15418044444444412,181,1.8867666666666665,218.5,21,0
TRAIN_0923,GK,0.21934044444444467,190,1.9824000000000002,234.0,21,0
TRAIN_0960,GK,0.15616044444444377,187,1.3022333333333334,227.5,21,0
TRAIN_0961,GK,0.2918004444444442,185,1.0983666666666665,227.0,21,0
TRAIN_0962,GK,-0.29367047619047515,188,2.2026333333333334,229.0,19,1
TRAIN_0965,GK,0.4713604444444446,194,1.8002666666666667,236.0,21,0
TRAIN_0967,GK,0.39182734693877563,197,1.9615333333333334,239.0,18,1
TRAIN_0970,GK,-0.555912653061224,184,1.6525,221.0,18,1
TRAIN_0983,GK,-0.1947926530612234,182,1.850266666666667,217.0,18,1
TRAIN_0984,GK,-0.35855042553191474,178,1.1426999999999998,213.0,20,0
TRAIN_0987,GK,0.1306804444444447,190,1.7975333333333332,231.5,21,0
TRAIN_0995,GK,-0.06928875000000012,185,1.1399666666666668,220.0,17,1
TRAIN_1008,GK,-0.6123104255319145,188,1.7774333333333334,230.0,20,1
TRAIN_1027,GK,-0.8337995555555544,188,1.7650333333333332,229.0,21,0
TRAIN_1029,GK,-0.4786904761904749,191,1.8394666666666666,232.0,19,1
TRAIN_1037,GK,-0.17407265306122444,183,2.0512333333333332,220.0,18,0
TRAIN_1051,GK,1.1680295238095244,186,1.7592666666666668,223.0,19,0
TRAIN_1072,GK,0.46596952380952406,192,1.9361666666666668,232.0,19,1
TRAIN_1120,GK,-0.06041265306122501,191,1.6907333333333332,234.0,18,1
TRAIN_1127,GK,0.3473673469387766,189,1.7763333333333335,226.0,18,1
TRAIN_1134,GK,-0.13609047619047576,189,2.0592333333333332,236.5,19,0
TRAIN_1146,GK,-0.3913104761904753,184,1.4236666666666666,226.0,19,0
TRAIN_1149,GK,-0.8110395555555554,183,2.446333333333333,218.0,21,0
TRAIN_1162,GK,-0.7688195555555559,199,1.3829999999999998,241.5,21,0
TRAIN_1215,GK,0.8186473469387758,188,2.981,227.0,18,0
TRAIN_1257,GK,0.6733095238095244,193,2.1212,239.0,19,0
TRAIN_1263,GK,-0.5581326530612243,185,2.1331666666666664,222.5,18,1
TRAIN_1269,GK,-0.22665955555555506,192,2.493133333333333,231.5,21,0
TRAIN_1298,GK,-0.5650395555555559,198,1.8810333333333336,247.5,21,0
TRAIN_1318,GK,0.10905125000000027,192,2.247733333333333,231.0,17,1
TRAIN_1332,GK,-0.3089326530612233,186,1.3780666666666666,223.5,18,1
TRAIN_1335,GK,0.08472957446808582,190,2.2807333333333335,233.5,20,0
TRAIN_1338,GK,0.1541095744680856,196,2.6488666666666667,238.5,20,0
TRAIN_1342,GK,0.04404044444444288,199,1.42,246.5,21,0
TRAIN_1352,GK,0.5187295744680851,193,2.2552333333333334,233.0,20,0
TRAIN_1354,GK,-0.3663904761904755,185,1.6956999999999998,222.5,19,1
TRAIN_1373,GK,-0.6140904761904755,186,1.4852,223.0,19,0
TRAIN_1381,GK,-0.2719304255319148,186,1.6905666666666666,224.0,20,0
TRAIN_1382,GK,-0.43123042553191393,188,1.5589666666666666,230.0,20,1
TRAIN_1383,GK,-0.09127955555555634,195,1.9996,234.5,21,0
TRAIN_1412,GK,0.6019604444444449,185,2.6763,226.0,21,0
TRAIN_1422,GK,0.0534273469387756,190,1.5371333333333332,230.0,18,1
TRAIN_1428,GK,0.8306295744680847,188,2.3938666666666664,230.5,20,0
TRAIN_1465,GK,-0.20799042553191338,188,3.2666333333333335,223.0,20,0
TRAIN_1505,GK,0.154849574468086,192,1.6604666666666665,236.5,20,0
TRAIN_1523,GK,-0.15897955555555576,182,1.4588666666666665,220.5,21,0
TRAIN_1539,GK,0.829460444444444,185,2.875366666666667,227.5,21,1
TRAIN_1559,GK,0.3579604444444451,185,1.7233,223.5,21,0
TRAIN_1562,GK,0.6051295238095253,188,1.5632333333333335,229.0,19,1
TRAIN_1567,GK,0.4962895744680864,189,1.5395,231.0,20,0
TRAIN_1576,GK,-0.07165042553191547,195,2.2216,237.0,20,0
TRAIN_1584,GK,-1.0373704255319147,185,1.2639666666666667,224.0,20,1
TRAIN_1592,GK,-0.40379042553191447,185,1.6945666666666668,222.5,20,0
TRAIN_1618,GK,0.5152695744680855,188,3.6094333333333335,231.0,20,1
TRAIN_1621,GK,-0.8812595555555554,185,0.9798,227.5,21,0
TRAIN_1625,GK,0.7647804444444457,188,1.7401333333333333,228.0,21,0
TRAIN_1635,GK,-0.44251265306122356,188,2.0552,225.5,18,1
TRAIN_1640,GK,0.044280444444445344,191,2.1607333333333334,230.5,21,0
TRAIN_1651,GK,0.40542044444444425,188,1.6537666666666666,225.0,21,0
TRAIN_1662,GK,0.3127295744680847,178,2.5690000000000004,214.0,20,0
TRAIN_1665,GK,-0.38479042553191345,186,2.2053666666666665,228.5,20,1
TRAIN_1666,GK,-0.36759047619047536,185,1.3442999999999998,226.5,19,0
TRAIN_1667,GK,0.6150873469387754,194,2.0195333333333334,229.5,18,1
TRAIN_1675,GK,-0.04659955555555584,180,1.9318666666666668,216.0,21,0
TRAIN_1683,GK,-0.5488704255319146,192,2.0989,232.0,20,0
TRAIN_1687,GK,0.7632495744680865,190,4.4473666666666665,227.0,20,0
TRAIN_1697,GK,0.24630957446808566,183,3.262,221.0,20,0
TRAIN_1706,GK,-0.18327047619047576,185,1.9654999999999998,223.0,19,0
TRAIN_1709,GK,-0.38809047619047554,181,1.7996,218.5,19,1
TRAIN_1725,GK,-0.613870476190475,179,1.9610333333333332,216.5,19,1
TRAIN_1735,GK,-0.6744904255319133,188,1.7425333333333335,224.5,20,1
TRAIN_1753,GK,0.08114952380952456,186,2.1995999999999998,225.0,19,1
TRAIN_1755,GK,0.6044295744680852,194,2.4421666666666666,234.0,20,0
TRAIN_1781,GK,0.8763895744680852,190,3.1586666666666665,233.5,20,0
TRAIN_1784,GK,-0.07163047619047624,187,1.8142333333333334,227.5,19,0
TRAIN_1793,GK,0.3528895238095231,188,1.7664666666666669,227.5,19,0
TRAIN_1801,GK,0.3609495744680853,195,1.2594999999999998,237.5,20,0
TRAIN_1806,GK,-0.15871955555555495,194,2.5185,235.0,21,1
TRAIN_1845,GK,0.3844604444444446,193,1.3691666666666666,232.0,21,0
TRAIN_1874,GK,0.12644044444444447,186,1.3285333333333333,225.5,21,0
TRAIN_1910,GK,-0.11500875000000121,196,1.5690333333333333,235.0,17,1
TRAIN_1922,GK,0.26926957446808597,191,1.8075666666666665,232.0,20,0
TRAIN_1937,GK,-0.9714504255319145,181,2.2436333333333334,217.5,20,0
TRAIN_1938,GK,0.8297095744680858,190,3.251466666666667,230.5,20,1
TRAIN_1950,GK,0.3594404444444441,192,1.7822000000000002,233.5,21,0
TRAIN_1959,GK,-0.25393047619047593,185,1.4048666666666667,223.5,19,0
TRAIN_1973,GK,-0.23323047619047532,195,1.3006000000000002,238.5,19,0
TRAIN_1975,GK,-0.4042395555555558,193,1.5671,239.5,21,1
TRAIN_1981,GK,0.3774295744680858,186,3.3456666666666663,226.5,20,1
TRAIN_1984,GK,-0.029690476190475046,192,1.7664666666666669,232.0,19,0
TRAIN_1985,GK,-0.2720995555555552,183,1.7339333333333335,225.0,21,0
TRAIN_2007,GK,0.8858273469387763,189,2.166933333333333,229.5,18,0
TRAIN_2038,GK,-0.9241795555555559,191,1.8209333333333333,231.0,21,0
TRAIN_2047,GK,0.20158957446808579,190,2.2375666666666665,231.5,20,1
TRAIN_2054,GK,-0.04809955555555501,177,1.8066333333333333,214.0,21,0
TRAIN_2060,GK,-0.7698904255319148,185,1.6912333333333331,221.5,20,1
TRAIN_2075,GK,0.8294495744680859,189,1.969,229.5,20,1
TRAIN_2087,GK,1.351420444444444,194,1.9197666666666666,238.0,21,0
TRAIN_2091,GK,-1.1302195555555556,185,1.7656333333333334,222.5,21,0
TRAIN_2094,GK,1.3735895744680855,198,3.7689,241.0,20,0
TRAIN_2104,GK,0.06578044444444409,189,2.2883999999999998,229.0,21,0
TRAIN_2107,GK,-0.02111955555555678,189,2.4382,230.0,21,0
TRAIN_2120,GK,0.1774204444444445,187,2.3703,228.5,21,0
TRAIN_2124,GK,1.1726095744680842,192,2.6168333333333336,232.0,20,1
TRAIN_2126,GK,-1.1316795555555554,186,1.9005,224.0,21,0
TRAIN_2129,GK,-0.06730874999999958,183,1.4868,223.0,17,1
TRAIN_2139,GK,0.11016957446808551,184,1.849,223.0,20,0
TRAIN_2140,GK,0.4904895238095248,189,1.9593,229.5,19,0
TRAIN_2149,GK,-0.4580304761904763,182,1.4453333333333334,217.0,19,0
TRAIN_2155,GK,-0.5875795555555552,194,2.0796,236.5,21,1
TRAIN_2178,GK,2.139840444444445,199,1.7898666666666667,243.0,21,0
TRAIN_2180,GK,-0.22521042553191428,184,1.6169666666666667,217.5,20,0
TRAIN_2182,GK,-0.004750476190475972,189,1.3060333333333334,232.5,19,1
TRAIN_2184,GK,-0.304432653061224,191,3.838266666666667,235.5,18,1
TRAIN_2189,GK,-0.2610326530612248,186,1.4949000000000001,230.0,18,1
TRAIN_2190,GK,0.256987346938776,188,1.8374,225.5,18,0
TRAIN_2191,GK,-0.29659955555555584,184,1.2129666666666667,224.0,21,0
TRAIN_2196,GK,-0.23001047619047643,199,2.0137666666666667,242.5,19,1
TRAIN_2208,GK,-0.8777395555555554,186,1.4069333333333331,223.5,21,0
TRAIN_2214,GK,0.22417125000000038,184,1.7006333333333334,222.0,17,1
TRAIN_2247,GK,-0.04515042553191417,189,1.1747000000000003,229.0,20,0
TRAIN_2255,GK,0.2044004444444445,192,2.4848666666666666,233.0,21,0
TRAIN_2266,GK,-0.09635042553191386,188,1.6899666666666668,227.5,20,0
TRAIN_2274,GK,0.018009523809524808,186,1.9197666666666666,221.0,19,0
TRAIN_2277,GK,1.279969574468086,189,3.951566666666667,228.0,20,1
TRAIN_2292,GK,-0.22291955555555543,195,1.5251666666666666,238.5,21,0
TRAIN_2305,GK,-0.5529126530612247,197,1.3285333333333333,244.5,18,0
TRAIN_2316,GK,0.25622734693877547,190,1.5653333333333332,228.5,18,0
TRAIN_2319,GK,1.014780444444444,183,2.4829666666666665,219.5,21,0
TRAIN_2320,GK,0.12012734693877558,186,1.3383666666666667,222.5,18,1
TRAIN_2332,GK,0.059409523809524245,185,1.4603000000000002,224.5,19,0
TRAIN_2342,GK,-0.8358304255319142,179,1.7339333333333335,214.0,20,1
TRAIN_2357,GK,-0.6369904255319145,198,1.4929666666666666,246.5,20,1
TRAIN_2359,GK,0.42734957446808597,189,2.1236,230.0,20,0
TRAIN_2369,GK,-0.11455042553191408,186,4.302033333333333,227.0,20,1
TRAIN_2379,GK,-0.2721504255319145,180,1.5763333333333334,215.0,20,0
TRAIN_2387,GK,-0.3311526530612241,183,1.4869333333333337,218.5,18,0
TRAIN_2388,GK,-0.3316326530612237,182,1.7664666666666669,219.0,18,1
TRAIN_2416,GK,-0.31655042553191404,201,1.9298000000000002,245.0,20,1
TRAIN_2420,GK,-0.5264504761904751,199,1.5274,244.0,19,1
TRAIN_2445,GK,0.1539204444444442,188,1.5951666666666668,227.5,21,0
TRAIN_2449,GK,0.5694273469387765,184,1.409633333333333,219.0,18,1
TRAIN_2463,GK,0.17458952380952475,190,1.3785333333333334,231.0,19,1
TRAIN_2476,GK,-0.24049265306122436,190,2.0050333333333334,224.0,18,1
TRAIN_2494,GK,0.9898204444444438,186,3.2176999999999993,224.0,21,0
TRAIN_2502,GK,-0.3458904761904753,185,1.8394666666666666,226.0,19,0
TRAIN_2516,GK,0.335689574468085,182,1.9585000000000001,219.0,20,1
TRAIN_2525,GK,-0.05671265306122297,180,1.9239,217.5,18,0
TRAIN_2541,GK,0.8768895744680849,191,2.3586666666666667,233.0,20,0
TRAIN_2544,GK,-0.6342904255319146,190,1.4985666666666668,228.0,20,1
TRAIN_2568,GK,-0.8600504255319148,187,1.2080333333333335,227.0,20,0
TRAIN_2572,GK,0.9587495238095247,190,3.032166666666667,231.5,19,0
TRAIN_2573,GK,-1.2184304255319143,183,2.5722,218.0,20,1
TRAIN_2574,GK,-0.7012104255319143,187,1.1439333333333332,224.0,20,1
TRAIN_2577,GK,0.29122957446808595,192,1.7009333333333334,230.0,20,0
TRAIN_2589,GK,0.6721604444444447,195,2.674533333333333,233.5,21,0
TRAIN_2595,GK,-0.20421042553191437,186,1.3605333333333334,223.5,20,1
TRAIN_2597,GK,-0.21753265306122405,192,1.6904666666666668,229.5,18,1
TRAIN_2613,GK,-0.13527955555555593,185,2.1283666666666665,219.5,21,0
TRAIN_2616,GK,-0.7229704255319147,182,1.7425333333333335,220.0,20,1
TRAIN_2618,GK,0.45162044444444316,190,2.837733333333334,231.0,21,0
TRAIN_2625,GK,0.1430873469387759,186,2.3709000000000002,223.0,18,0
TRAIN_2634,GK,0.5610004444444447,189,3.0549666666666666,227.0,21,0
TRAIN_2668,GK,0.02794734693877654,185,2.1644,222.5,18,1
TRAIN_2672,GK,0.6472895238095253,192,2.293633333333333,233.0,19,0
TRAIN_2684,GK,-0.8592595555555551,189,1.3790333333333333,227.5,21,0
TRAIN_2695,GK,0.5423004444444439,193,1.4561666666666666,233.5,21,0
TRAIN_2700,GK,0.9650495744680851,191,1.7706,227.5,20,0
TRAIN_2711,GK,-0.4080104255319146,185,2.0413666666666668,223.0,20,0
TRAIN_2730,GK,-0.08465265306122394,192,1.3076333333333332,235.0,18,1
TRAIN_2741,GK,0.3926073469387763,190,2.0961666666666665,228.5,18,1
TRAIN_2751,GK,-0.07191047619047541,185,2.2857,224.0,19,1
TRAIN_2754,GK,-0.0254504255319139,193,1.7715666666666667,234.0,20,0
TRAIN_2760,GK,0.963789523809524,193,2.1654999999999998,237.5,19,0
TRAIN_2761,GK,0.24576957446808567,190,2.6366,232.0,20,0
TRAIN_2775,GK,-0.5630595555555562,185,1.6945666666666668,224.0,21,0
TRAIN_2776,GK,-0.09307955555555569,184,2.5164333333333335,223.0,21,0
TRAIN_2794,GK,0.4033895744680862,193,2.3634666666666666,233.0,20,1
TRAIN_2800,GK,-0.2165326530612237,190,1.9680666666666664,228.0,18,1
TRAIN_2814,GK,-0.385030425531915,186,1.2176,225.0,20,0
TRAIN_2815,GK,-0.5216304255319146,193,1.7366333333333335,229.5,20,0
TRAIN_2827,GK,0.0596895238095243,188,1.8813666666666666,225.5,19,1
TRAIN_2829,GK,-0.2720995555555552,180,1.8995333333333333,215.0,21,0
TRAIN_2832,GK,0.15486957446808525,186,1.5605333333333335,228.0,20,0
TRAIN_2836,GK,1.0597204444444435,189,3.5264666666666664,227.0,21,0
TRAIN_2844,GK,-0.044870425531914115,186,2.4705666666666666,223.5,20,0
TRAIN_2852,GK,-0.4337904761904756,185,1.2491666666666668,224.0,19,1
TRAIN_2853,GK,0.04165124999999925,187,1.8015,225.5,17,1
TRAIN_2867,GK,-0.24893042553191513,192,1.1782333333333332,232.0,20,0
TRAIN_2875,GK,0.8039095238095246,186,1.7817333333333334,225.0,19,0
TRAIN_2880,GK,0.4926004444444452,192,3.7391333333333336,236.0,21,0
TRAIN_2913,GK,-0.22743042553191373,180,1.7657999999999998,220.0,20,0
TRAIN_2917,GK,0.017789574468086045,194,4.1574333333333335,234.5,20,1
TRAIN_2932,GK,0.1985495238095245,191,1.7315666666666667,230.0,19,1
TRAIN_2933,GK,-0.2006995555555564,190,1.2454666666666667,230.0,21,0
TRAIN_2937,GK,-0.024190425531914528,189,1.9739333333333333,230.0,20,0
TRAIN_2938,GK,0.9092873469387763,190,1.3326666666666667,230.0,18,1
TRAIN_2940,GK,-0.15775955555555576,178,1.7205666666666666,217.5,21,0
TRAIN_2946,GK,-0.6325195555555556,190,2.2442333333333333,230.0,21,0
TRAIN_2957,GK,0.15718044444444423,191,2.2534666666666667,231.0,21,0
TRAIN_2958,GK,-0.5870704255319152,203,2.127733333333333,247.5,20,1
TRAIN_2961,GK,-0.18221955555555613,186,2.0002333333333335,231.0,21,0
TRAIN_2979,GK,0.31546957446808666,190,1.0966333333333333,230.5,20,1
TRAIN_2990,GK,0.2218604444444443,185,1.9258333333333333,222.5,21,0
TRAIN_2995,GK,-0.04737955555555562,180,1.4880333333333333,216.0,21,0
TRAIN_2998,GK,-0.3847904255319152,188,2.3172,231.0,20,0
TRAIN_3002,GK,-0.26447265306122336,183,1.2888666666666666,221.5,18,1
TRAIN_3008,GK,-0.30623265306122427,186,2.0513999999999997,223.0,18,1
